year cost
    1988.000  3088769.842
    1988.000 13005346.703
    1988.000  8778609.025
    1988.000  8778609.025
    1988.000  2113368.839
    1988.000   650267.335
    1988.000   975401.003
    1988.000  4649411.446
    1988.000  3999144.111
    1988.000 14305881.373
    1988.000 10664384.296
    1988.000   487700.501
    1988.000   146310.150
    1988.000   487700.501
    1988.000   195080.201
    1988.000   650267.335
    1988.000   975401.003
    1988.000  9022459.275
    1988.000  5527272.349
    1988.000  5202138.681
    1988.000   650267.335
    1988.000   715294.069
    1988.000  7640641.188
    1988.000  9754010.027
    1988.000  2145882.206
    1988.000  2926203.008
    1988.000  4681924.813
    1988.000   487700.501
    1988.000 10079143.695
    1988.000   487700.501
    1988.000  8778609.025
    1988.000  6502673.352
    1988.000 12355079.368
    1988.000 17557218.049
    1988.000  7803208.022
    1988.000  7803208.022
    1988.000  7803208.022
    1988.000  7803208.022
    1989.000 26401173.197
    1989.000   927260.717
    1989.000  1030289.686
    1989.000   515144.843
    1989.000 18545214.343
    1989.000  2318151.793
    1989.000   515144.843
    1989.000   643931.054
    1989.000   643931.054
    1989.000   643931.054
    1989.000  1159075.896
    1989.000   643931.054
    1989.000   643931.054
    1989.000   643931.054
    1989.000   643931.054
    1989.000   515144.843
    1989.000  3606013.900
    1989.000  5280234.639
    1989.000  2704510.425
    1989.000 18545214.343
    1989.000  6696882.957
    1989.000 13136193.493
    1989.000  8499889.907
    1989.000   515144.843
    1989.000  1030289.686
    1989.000   515144.843
    1989.000   643931.054
    1989.000   643931.054
    1989.000 10174110.647
    1989.000   279466.077
    1989.000 10818041.700
    1989.000 19897469.556
    1989.000   206057.937
    1989.000   154543.453
    1989.000 10818041.700
    1989.000     5151.448
    1989.000 32840483.733
    1989.000   257572.421
    1989.000   257572.421
    1989.000   386358.632
    1989.000   643931.054
    1990.000  7880700.361
    1990.000  7880700.361
    1990.000   467004.466
    1990.000   467004.466
    1990.000  4280874.270
    1990.000   467004.466
    1990.000   467004.466
    1990.000   486462.985
    1990.000   875633.373
    1990.000  3405240.897
    1990.000  6032141.017
    1990.000   583755.582
    1990.000   583755.582
    1990.000   467004.466
    1990.000   467004.466
    1990.000   486462.985
    1990.000  3502533.494
    1990.000   330794.830
    1990.000   583755.582
    1990.000   583755.582
    1990.000 12064282.034
    1990.000   233502.233
    1990.000  8464455.943
    1990.000 16539741.499
    1990.000   467004.466
    1990.000   486462.985
    1990.000   972925.971
    1990.000 16539741.499
    1990.000   233502.233
    1990.000   233502.233
    1990.000   194585.194
    1990.000   583755.582
    1990.000  6810481.794
    1990.000  8756333.735
    1990.000 11285941.258
    1990.000   583755.582
    1990.000   583755.582
    1990.000   583755.582
    1990.000   583755.582
    1990.000  7394237.376
    1990.000   583755.582
    1990.000   583755.582
    1990.000   389170.388
    1990.000  4378166.867
    1990.000  6421311.405
    1990.000  4086289.076
    1990.000  2335022.329
    1990.000   486462.985
    1990.000   583755.582
    1990.000 11285941.258
    1990.000  6324018.808
    1990.000   583755.582
    1990.000  7394237.376
    1990.000  6421311.405
